County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Wyoming,Meshoppen Boro,9,20,110,3,0,In Progress
Indiana,Plumville,14,41,66,3,0,In Progress
Montgomery,Whitpain Twp,4,44,150,3,0,In Progress
Montgomery,East Norriton Twp,4,12,61,3,0,In Progress
Montgomery,Upper Merion Twp,4,44,150,3,0,In Progress
Butler,Karns City Boro,16,21,17,3,0,In Progress
Lackawanna,Dunmore,8,22,113,3,0,In Progress
Montgomery,Plymouth Twp,5,17,149,3,0,In Progress
Venango,Franklin,16,21,64,2,391,
Schuylkill,West Penn Twp,9,29,124,2,253,
Schuylkill,North Manheim Twp,9,29,123,2,243,
Berks,Fleetwood Boro,4,11,130,2,185,
Blair,Tyrone Boro,13,30,80,2,177,
Schuylkill,Saint Clair Boro,9,29,123,2,145,
Cameron,Shippen Twp,15,25,67,2,135,
Schuylkill,Port Carbon Boro,9,29,123,2,98,
Schuylkill,East Brunswick Twp,9,29,124,2,95,
Northumberland,Upper Augusta Twp,9,27,108,2,80,
Schuylkill,Pine Grove Boro,9,29,107,2,75,
Northumberland,Turbot Twp,9,27,108,2,61,
Venango,President Twp,15,21,64,2,46,
Venango,Scrubgrass Twp,15,21,64,2,39,
Butler,Petrolia Boro,16,21,17,2,1,In Progress
Butler,Middlesex Twp,16,47,12,2,1,In Progress
Montgomery,Montgomery Twp,4,12,153,2,0,In Progress
Indiana,Center,15,41,66,2,0,In Progress
Montgomery,Lower Merion Twp,4,4,153,2,0,In Progress
Montgomery,Trappe Boro Boro,1,24,131,2,0,In Progress
Montgomery,Towamencin Twp,5,17,149,2,0,In Progress
Cumberland,Silver Spring Twp,10,34,199,2,0,In Progress
Cumberland,Silver Spring Twp,10,34,88,2,0,In Progress
Montgomery,Upper Dublin Twp,4,24,70,2,0,In Progress
Montgomery,Upper Dublin Twp,4,44,150,2,0,In Progress
Montgomery,Upper Merion Twp,4,12,53,2,0,In Progress
Cumberland,Upper Allen Twp,10,31,88,2,0,In Progress
Montgomery,Upper Moreland Twp,4,24,61,2,0,In Progress
Montgomery,Upper Providence Twp,4,24,150,2,0,In Progress
Montgomery,Jenkintown Boro,4,12,152,2,0,In Progress
Montgomery,Upper Salford Twp,1,12,147,2,0,In Progress
Montgomery,Horsham Twp,4,24,61,2,0,In Progress
Montgomery,Plymouth Twp,4,17,70,2,0,In Progress
Montgomery,Plymouth Twp,4,12,151,2,0,In Progress
Montgomery,West Norriton Twp,4,12,70,2,0,In Progress
Montgomery,West Norriton Twp,4,44,150,2,0,In Progress
Montgomery,West Norriton Twp,5,17,149,2,0,In Progress
Montgomery,Whitemarsh Twp,5,17,54,2,0,In Progress
Montgomery,Perkiomen Twp,4,24,150,2,0,In Progress
Montgomery,Whitpain Twp,1,12,147,2,0,In Progress
Montgomery,Lower Salford Twp,4,24,61,2,0,In Progress
Montgomery,Lower Salford Twp,4,24,70,2,0,In Progress
Montgomery,Montgomery Twp,4,12,61,2,0,In Progress
Montgomery,Cheltenham Twp,4,12,152,2,0,In Progress
Montgomery,Cheltenham Twp,4,12,151,2,0,In Progress
Cumberland,Camp Hill Boro,10,31,87,2,0,In Progress
Lackawanna,Taylor,8,22,113,2,0,In Progress
Montgomery,Norristown Boro,4,12,54,2,0,In Progress
Montgomery,New Hanover Twp,4,44,150,2,0,In Progress
Butler,Middlesex Twp,16,21,8,2,0,In Progress
Butler,Butler City,16,21,8,2,0,In Progress
Lackawanna,Jessup,8,22,114,2,0,In Progress
Lackawanna,Dunmore,8,40,112,2,0,In Progress
Lackawanna,Dunmore,8,22,114,2,0,In Progress
Butler,Harmony Boro,16,21,11,2,0,In Progress
Lycoming,Old Lycoming Twp,9,23,83,2,0,In Progress
